observed_on,latitude,longitude
2014-09-26,37.95655,-122.5734416667
2014-09-27,37.2835388889,-122.2970694444
2014-09-27,37.2772305556,-122.2922416667
2014-05-03,38.015928,-122.731897
2014-09-27,37.275065,-122.29254
2014-09-27,37.2749916667,-122.29169
2014-09-28,38.9178,-121.036135
2014-09-27,37.276382,-122.296578
2014-10-10,47.0712999725,-122.9789259232
2014-08-11,53.254927,-132.152063
2014-10-18,46.9147922192,-122.2768996285
2014-10-18,47.4754616667,-122.0350416667
2014-08-22,47.862586,-123.9184
2014-10-21,47.315421,-122.53512
2014-10-13,49.039927,-121.984656
2014-10-21,47.54356,-122.22089
2014-10-23,37.470496,-122.442194
2014-08-26,47.464076,-123.845787
2014-10-26,37.894261,-122.573222
2014-10-30,37.8689416667,-122.222795
2014-11-07,47.496902,-123.279202
2014-11-08,46.953851,-123.398437
2014-11-10,37.936969,-122.67056
2014-11-10,37.1859666667,-122.3392866667
2014-11-14,37.1870716667,-122.32848
2014-11-22,38.3693,-122.5015633333
2014-11-22,38.369548,-122.50296
2014-11-22,38.369156,-122.501549
2014-11-22,38.3691258543,-122.5014563465
2014-11-22,38.3691172628,-122.5011732058
2014-11-22,38.36845,-122.508252
2014-11-22,37.838935,-122.187115
2014-11-22,38.3753979,-122.5230052
2014-10-23,47.672462,-122.308037
2014-11-25,37.042739,-122.058452
2014-11-22,37.431285,-122.312272
2014-11-11,37.208012,-122.333493
2014-03-08,37.433904,-122.315579
2014-11-30,37.9390366667,-122.5501166667
2003-03-01,38.539344,-123.003874
2014-12-06,37.9249192667,-122.5450529821
2014-12-07,37.1872,-122.32875
2014-12-07,36.515912,-121.942282
2014-12-07,37.892629,-122.572432
2014-12-07,47.5905570984,-122.6338882446
2014-12-10,47.6581537,-122.3040875
2014-12-13,37.5722116667,-122.4056233333
2014-12-13,37.9173930017,-122.5297773595
2014-12-22,37.196455,-122.29425
2014-12-22,37.433151,-122.34318
2014-12-22,37.1983683333,-122.2931883333
2014-12-25,40.23632,-123.8251583333
2014-12-27,37.17199,-121.96896
2014-12-27,37.17199,-121.96896
2014-12-27,40.8336033333,-124.176155
2009-08-25,40.877666,-124.073603
2014-12-28,38.3693023352,-123.0018201751
2015-01-01,41.81196,-124.223957
2015-01-10,37.81025374,-122.15442393
2015-01-10,37.8076783333,-122.1496583333
2015-01-10,38.369128,-122.501239
2015-01-14,37.786715,-122.503439
2015-01-17,37.524249,-122.320672
2015-01-21,37.3894916667,-122.2596444444
2015-01-17,37.8393666667,-122.1883583333
2015-01-18,37.931016,-122.634984
2015-01-30,37.41095,-122.2622316667
2015-02-01,37.1999266667,-122.287005
2015-02-05,37.78179,-122.1504833333
2015-01-25,37.171255,-122.222128
2015-02-08,36.968848,-121.870909
2015-02-08,37.435225,-122.353425
2015-02-10,36.9977833333,-122.05709
2014-04-01,38.367471,-122.507571
2015-02-17,39.338877,-123.093734
2015-02-17,38.468934,-123.016462
2015-02-18,37.3674083333,-122.2570583333
2017-07-02,41.526509,-124.038407
2015-02-15,41.784447,-124.254178
2015-02-19,38.367471,-122.507571
2014-04-15,38.052366,-122.836354
2008-09-17,39.331443,-123.803644
2015-03-08,37.817402,-122.163749
2015-03-10,57.04940911,-135.29361583
2015-03-09,38.438533,-123.094549
2015-03-13,38.36889,-122.498245
2015-03-14,38.367471,-122.507571
